user_name,video_length,video_link,n_likes,n_shares,n_comments,n_plays
cacha.7.griselda,12,https://www.tiktok.com/@cacha.7.griselda/video/6984473039605959941?lang=en,28000000,2100000,1500000,222300000
pimplepom,58,https://www.tiktok.com/@pimplepom/video/6967088732465794310?lang=en,6100000,108200,90200,200200000
leytink,8,https://www.tiktok.com/@leytink/video/6976629251143388418?lang=en,17100000,110200,294300,162200000
hassankhadair,13,https://www.tiktok.com/@hassankhadair/video/6974585687798500613?lang=en,15200000,325300,114800,106000000
moontellthat,27,https://www.tiktok.com/@moontellthat/video/6978279631048772869?lang=en,11300000,908100,125200,101200000
psg,8,https://www.tiktok.com/@psg/video/6995174692709600518?lang=en,10300000,129900,75600,90400000
khaby.lame,25,https://www.tiktok.com/@khaby.lame/video/6999284772195421445?lang=en,12000000,63400,118500,84500000
mercuri_88,8,https://www.tiktok.com/@mercuri_88/video/6995542759981452549?lang=en,6000000,82100,38700,79800000
littel_johnny,47,https://www.tiktok.com/@littel_johnny/video/6984893201412820229?lang=en,8300000,410900,55700,56300000
_guzi_,9,https://www.tiktok.com/@_guzi_/video/6989666243745680641?lang=en,4200000,16400,18700,54300000
user4350486101671,13,https://www.tiktok.com/@user4350486101671/video/6974570453381696774?lang=en,9900000,52800,73400,50500000
coco224466,10,https://www.tiktok.com/@coco224466/video/6977625126338710789?lang=en,4000000,306500,122500,45100000
mimisskate,10,https://www.tiktok.com/@mimisskate/video/6981508296444218626?lang=en,3300000,42900,25200,44100000
mks.vision,7,https://www.tiktok.com/@mks.vision/video/6981504619235020037?lang=en,4700000,45100,26200,43200000
lights.are.off,12,https://www.tiktok.com/@lights.are.off/video/6997141887752719621?lang=en,5800000,74900,83500,38200000
ox_zung,12,https://www.tiktok.com/@ox_zung/video/6998917930721266946?lang=en,2400000,10500,25800,35200000
dulssy,9,https://www.tiktok.com/@dulssy/video/6989072033573391621?lang=en,2500000,233300,31100,34800000
hayndkay_mom,9,https://www.tiktok.com/@hayndkay_mom/video/6993756044191108358?lang=en,5400000,237700,73500,33500000
flawhiteboywasted,11,https://www.tiktok.com/@flawhiteboywasted/video/6994482398754917638?lang=en,3000000,247000,28000,32600000
mimisskate,8,https://www.tiktok.com/@mimisskate/video/6983706156850089217?lang=en,3900000,21300,19400,32500000
momma_mandy_plus7,8,https://www.tiktok.com/@momma_mandy_plus7/video/6992363023767850246?lang=en,4800000,451600,56700,32200000
cutepetowner,9,https://www.tiktok.com/@cutepetowner/video/6968334547695979782?lang=en,2600000,516600,100100,31600000
l_s_d_r,11,https://www.tiktok.com/@l_s_d_r/video/6990459477203963141?lang=en,976900,143400,10400,29800000
mimisskate,8,https://www.tiktok.com/@mimisskate/video/6967375665767271682?lang=en,2200000,22000,9354,28700000
spicekingcam,15,https://www.tiktok.com/@spicekingcam/video/6967513355456187654?lang=en,2700000,18300,59700,27900000
roses_are_rosie,11,https://www.tiktok.com/@roses_are_rosie/video/6997683644210924802?lang=en,6600000,49100,107100,26700000
picklesthecockatoo,10,https://www.tiktok.com/@picklesthecockatoo/video/6993072627619319046?lang=en,3000000,286900,31200,26000000
roses_are_rosie,20,https://www.tiktok.com/@roses_are_rosie/video/6994747032053370113?lang=en,6200000,70200,172900,25200000
mamalindy,9,https://www.tiktok.com/@mamalindy/video/6977147192167501062?lang=en,1600000,18300,11400,25200000
relaxedbryan,21,https://www.tiktok.com/@relaxedbryan/video/6969717760569953542?lang=en,3600000,457800,96600,25000000
miakhalifa,14,https://www.tiktok.com/@miakhalifa/video/6977534656375737606?lang=en,4000000,12300,18200,24900000
roses_are_rosie,12,https://www.tiktok.com/@roses_are_rosie/video/6997683428908928257?lang=en,5200000,37100,87200,22000000
pamelaelizabethguzman,13,https://www.tiktok.com/@pamelaelizabethguzman/video/6996818868551290118?lang=en,1600000,44200,12400,19800000
psg,8,https://www.tiktok.com/@psg/video/6995878978120666374?lang=en,2600000,4745,10500,18900000
addisonre,7,https://www.tiktok.com/@addisonre/video/6981166027702799622?lang=en,2600000,25700,20000,18900000
henriquezedwin,15,https://www.tiktok.com/@henriquezedwin/video/6994894437725916422?lang=en,1000000,137100,12100,17100000
bts_official_bighit,20,https://www.tiktok.com/@bts_official_bighit/video/6998773625557880066?lang=en,5300000,158300,255800,17000000
bigozafg,14,https://www.tiktok.com/@bigozafg/video/6997506155731799301?lang=en,1900000,68500,68500,15200000
paky__official,9,https://www.tiktok.com/@paky__official/video/6968890140420885766?lang=en,1800000,5469,6751,15000000
andypa123,15,https://www.tiktok.com/@andypa123/video/6982411189116603653?lang=en,616300,101300,9206,14900000
mimisskate,10,https://www.tiktok.com/@mimisskate/video/6997503162898795778?lang=en,928700,4936,3614,14400000
